Feature,Importance
ers,0.3206046006342827
rtu,0.3203355384396387
seg,0.3197212213212098
hoo,0.3197129399804226
ert,0.31918654962423304
ec,0.31893753039561856
tt,0.31837447820840176
pap,0.31821073098964137
mee,0.3179722311976518
uk,0.3174553808043517
lbr,0.317293869602265
å,0.3171878686175018
rns,0.317007038057716
riv,0.31695116632563364
erk,0.3165126620150839
ane,0.31579325325687213
ins,0.3153205795595521
enn,0.3149578708194393
kos,0.3142147523115793
coe,0.3141209480826294
boo,0.3130830249298742
c,0.31302000778170724
öm,0.3125540544534562
rga,0.3109207625972621
nes,0.3102960099670573
 la,0.31019136967153355
ux,0.30983108264340264
tup,0.3094578449858526
up,0.3094578449858526
upp,0.3094578449858526
bog,0.3076080468020421
reg,0.3076080468020421
sh,0.30743561991480445
nin,0.3071182499056361
mo,0.306963980290215
ani,0.3067317028906273
